44869,occ,,,3535,Aturia alabamensis,species,122907,Priabonian,,38,33.9,124
45865,occ,,,3641,Eutrephoceras,genus,13198,Campanian,Early Maastrichtian,83.6,66,222
45902,occ,,,3642,Eutrephoceras,genus,13198,Campanian,Early Maastrichtian,83.6,66,222
53314,occ,,,4109,Eutrephoceras dekayi,species,122370,Early Maastrichtian,,70.6,66,281
53350,occ,,,4110,Eutrephoceras dekayi,species,122370,Early Maastrichtian,,70.6,66,281
53397,occ,,,4111,Eutrephoceras dekayi,species,122370,Early Maastrichtian,,70.6,66,281
53589,occ,,,4119,Eutrephoceras perlatus,species,323842,Early Maastrichtian,,70.6,66,283
53600,occ,,,4120,Eutrephoceras perlatus,species,323842,Early Maastrichtian,,70.6,66,283
53972,occ,,,4127,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54131,occ,,,4130,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54168,occ,,,4134,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54353,occ,,,4142,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54483,occ,,,4147,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54562,occ,,,4148,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54597,occ,,,4150,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54714,occ,,,4156,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54830,occ,,,4160,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54896,occ,,,4161,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
54933,occ,,,4162,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
55004,occ,,,4164,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
55049,occ,,,4165,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
55070,occ,,,4166,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
55094,occ,,,4167,Eutrephoceras perlatus,species,323842,Late Maastrichtian,,70.6,66,283
55140,occ,,,4168,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55212,occ,,,4170,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55240,occ,,,4171,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55289,occ,,,4172,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55335,occ,,,4173,Eutrephoceras,genus,13198,Late Maastrichtian,,70.6,66,283
55377,occ,,,4174,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55426,occ,,,4175,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55504,occ,,,4177,Eutrephoceras,genus,13198,Late Maastrichtian,,70.6,66,283
55574,occ,,,4178,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55632,occ,,,4179,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55768,occ,,,4182,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55816,occ,,,4183,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55860,occ,,,4184,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
55930,occ,,,4186,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
56000,occ,,,4187,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
56049,occ,,,4192,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
56074,occ,,,4193,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
56127,occ,,,4194,Eutrephoceras dekayi,species,122370,Late Maastrichtian,,70.6,66,283
